,Entity,Code,Day,Human cases with highly pathogenic avian influenza A/H5N1 (monthly),yyyy_mm
621,Asia,,2020-01-09,0,2020-01
622,Asia,,2020-01-10,0,2020-01
623,Asia,,2020-01-11,1,2020-01
624,Asia,,2020-01-12,0,2020-01
625,Asia,,2021-01-01,0,2021-01
626,Asia,,2021-01-02,0,2021-01
627,Asia,,2021-01-03,0,2021-01
628,Asia,,2021-01-04,0,2021-01
629,Asia,,2021-01-05,0,2021-01
630,Asia,,2021-01-06,0,2021-01
631,Asia,,2021-01-07,1,2021-01
632,Asia,,2021-01-08,0,2021-01
633,Asia,,2021-01-09,0,2021-01
634,Asia,,2021-01-10,0,2021-01
635,Asia,,2021-01-11,0,2021-01
636,Asia,,2021-01-12,0,2021-01
637,Asia,,2022-01-01,0,2022-01
638,Asia,,2022-01-02,0,2022-01
639,Asia,,2022-01-03,0,2022-01
640,Asia,,2022-01-04,0,2022-01
641,Asia,,2022-01-05,0,2022-01
642,Asia,,2022-01-06,0,2022-01
643,Asia,,2022-01-07,0,2022-01
644,Asia,,2022-01-08,0,2022-01
645,Asia,,2022-01-09,1,2022-01
646,Asia,,2022-01-10,1,2022-01
647,Asia,,2022-01-11,0,2022-01
648,Asia,,2022-01-12,0,2022-01
649,Asia,,2023-01-01,1,2023-01
650,Asia,,2023-01-02,2,2023-01
651,Asia,,2023-01-03,0,2023-01
